AUTO,distance,angle,Length,distance_2,angle_2,pre_monsoon1,post_monsoon1
1,500,216.984645664925,356,200,126.984645664937,274.498077392578,274.767700195312
1,500,216.984645664925,356,210,126.984645664937,274.475158691406,274.833435058594
1,500,216.984645664925,356,220,126.984645664937,274.633544921875,274.945251464844
1,500,216.984645664925,356,230,126.984645664937,274.718780517578,274.990020751953
1,500,216.984645664925,356,240,126.984645664937,274.792907714844,275.039489746094
1,500,216.984645664925,356,250,126.984645664937,274.857818603516,275.090667724609
1,500,216.984645664925,356,260,126.984645664937,274.896881103516,275.122741699219
1,500,216.984645664925,356,270,126.984645664937,274.961883544922,275.171051025391
1,500,216.984645664925,356,280,126.984645664937,275.000366210938,275.198669433594
1,500,216.984645664925,356,290,126.984645664937,275.080718994141,275.258026123047
1,500,216.984645664925,356,300,126.984645664937,275.170959472656,275.331237792969
1,500,216.984645664925,356,310,126.984645664937,275.221466064453,275.371246337891
1,500,216.984645664925,356,320,126.984645664937,275.335571289062,275.476745605469
1,500,216.984645664925,356,330,126.984645664937,275.406951904297,275.544464111328
1,500,216.984645664925,356,340,126.984645664937,275.567901611328,275.699798583984
1,500,216.984645664925,356,350,126.984645664937,275.671905517578,275.801940917969
1,550,209.842505949575,350,0,119.842505949555,275.966827392578,276.076599121094
1,550,209.842505949575,350,10,119.842505949555,275.697814941406,275.820404052734
1,550,209.842505949575,350,20,119.842505949555,274.830017089844,275.038879394531
1,550,209.842505949575,350,30,119.842505949555,274.483215332031,274.734039306641
1,550,209.842505949575,350,40,119.842505949555,274.375823974609,274.638732910156
1,550,209.842505949575,350,50,119.842505949555,274.270843505859,274.531585693359
1,550,209.842505949575,350,60,119.842505949555,274.20751953125,274.476593017578
1,550,209.842505949575,350,70,119.842505949555,274.167877197266,274.448852539062
1,550,209.842505949575,350,80,119.842505949555,274.130340576172,274.424407958984
1,550,209.842505949575,350,90,119.842505949555,274.112701416016,274.413055419922
1,550,209.842505949575,350,100,119.842505949555,274.094421386719,274.401977539062
1,550,209.842505949575,350,110,119.842505949555,274.059448242188,274.386749267578
1,550,209.842505949575,350,120,119.842505949555,274.030517578125,274.36572265625
1,550,209.842505949575,350,130,119.842505949555,274.004089355469,274.339874267578
1,550,209.842505949575,350,140,119.842505949555,273.924743652344,274.296203613281
1,550,209.842505949575,350,150,119.842505949555,273.92431640625,274.240783691406
1,550,209.842505949575,350,160,119.842505949555,273.965667724609,274.199310302734
1,550,209.842505949575,350,170,119.842505949555,274.013977050781,274.246978759766
1,550,209.842505949575,350,180,119.842505949555,274.119812011719,274.402252197266
1,550,209.842505949575,350,190,119.842505949555,274.194305419922,274.518585205078
1,550,209.842505949575,350,200,119.842505949555,274.234191894531,274.568878173828
1,550,209.842505949575,350,210,119.842505949555,274.35205078125,274.651794433594
1,550,209.842505949575,350,220,119.842505949555,274.440490722656,274.718719482422
1,550,209.842505949575,350,230,119.842505949555,274.519378662109,274.782958984375
1,550,209.842505949575,350,240,119.842505949555,274.550689697266,274.808746337891
1,550,209.842505949575,350,250,119.842505949555,274.633148193359,274.873474121094
1,550,209.842505949575,350,260,119.842505949555,274.721862792969,274.942047119141
1,550,209.842505949575,350,270,119.842505949555,274.759643554688,274.967651367188
1,550,209.842505949575,350,280,119.842505949555,274.856536865234,275.044403076172
1,550,209.842505949575,350,290,119.842505949555,274.962738037109,275.131469726562
1,550,209.842505949575,350,300,119.842505949555,275.084228515625,275.232727050781
1,550,209.842505949575,350,310,119.842505949555,275.14404296875,275.283447265625
1,550,209.842505949575,350,320,119.842505949555,275.3125,275.444305419922
1,550,209.842505949575,350,330,119.842505949555,275.669921875,275.785858154297
1,550,209.842505949575,350,340,119.842505949555,276.753509521484,276.799926757812
1,550,209.842505949575,350,350,119.842505949555,276.857269287109,276.945281982422
1,600,212.196449968122,333,0,122.196449968106,274.742980957031,274.903350830078
1,600,212.196449968122,333,10,122.196449968106,274.743011474609,274.906463623047
1,600,212.196449968122,333,20,122.196449968106,274.397735595703,274.612182617188
1,600,212.196449968122,333,30,122.196449968106,274.170074462891,274.421325683594
1,600,212.196449968122,333,40,122.196449968106,274.071929931641,274.338592529297
1,600,212.196449968122,333,50,122.196449968106,273.920745849609,274.217529296875
1,600,212.196449968122,333,60,122.196449968106,273.855895996094,274.183776855469
1,600,212.196449968122,333,70,122.196449968106,273.803131103516,274.150360107422
1,600,212.196449968122,333,80,122.196449968106,273.740570068359,274.134552001953
1,600,212.196449968122,333,90,122.196449968106,273.667785644531,274.117034912109
1,600,212.196449968122,333,100,122.196449968106,273.591644287109,274.086761474609
1,600,212.196449968122,333,110,122.196449968106,273.582946777344,274.061340332031
1,600,212.196449968122,333,120,122.196449968106,273.527435302734,274.008270263672
1,600,212.196449968122,333,130,122.196449968106,273.525085449219,273.928955078125
1,600,212.196449968122,333,140,122.196449968106,273.549865722656,273.886932373047
